Show,Genre,IA Identifier,,
Barrel Of Fun,Comedy,https://archive.org/details/Barrel_of_Fun,,
Barry Wood Show,Music,,,
Basin Street,Music,,,
Battle Of The Sexes,Game Show,,,
Battle Stations,Documentary,https://archive.org/details/Battle_Stations,,
Beat The Band,Game Show,,,
Beat Your Wife,Game Show,,,
Beauty Vs. Brains,Game Show,,,
Behind The Front Page,Drama,,,
Behind The Mike,Documentary,https://archive.org/details/OTRR_Behind_The_Mike_Singles,,
Behind The Scenes,Documentary,,,
Behind The Scenes At Cbs,Documentary,,,
Benny Goodman Music Festival,Music,,,
Best Of All,Music,,,
Best Plays,Anthology,https://archive.org/details/BestPlays1952-1953,,
Big Jim Mc Lain,Thriller,,,
Big Moments In Sports,Sports,,,
Big Town,War Drama,https://archive.org/details/BigTown,,
Billy Rose's Jumbo,Drama,,,
Birds Eye Open House,Comedy,,,
Black Hood,Superhero,https://archive.org/details/otr_blackhood,,
Blackstone The Magic Detective,Detective,https://archive.org/details/Blackstone_The_Magic_Detective,,
Blind Date,Game Show,,,
Blondie,Comedy,https://archive.org/details/OtrBlondie,,
Blue Ribbon Town,Comedy,https://archive.org/details/otr_blueribbontown,,
Bob And Victoria,Drama,,,
Bob Carleton Show,Music,,,
Bob Poole Show,Music,,,
Bold Venture,Adventure,https://archive.org/details/BoldVenture57Episodes,,
Boston Blackie,Detective,https://archive.org/details/OTRR_Boston_Blackie_Singles,,
Box Office,Unknown,,,
Boyd Raeburn Show,Music,,,
Breakfast At Sardi,Talk Show,,,
Breakfast In Hollywood,Talk Show,https://archive.org/details/BreakfastInHollywood,,
Bright Star,Comedy,https://archive.org/details/OTRR_Bright_Star_Singles,,
Bring 'em Back Alive,Documentary,https://archive.org/details/bring_em_back_alive,,
Broadway's My Beat,Crime Drama,https://archive.org/details/OTRR_Broadway_Is_My_Beat_Singles,,
Brownstone Theater,Anthology,,,
Bulldog Drummond,Adventure,https://archive.org/details/Bulldog_Drummond,,
Bunco Squad,Crime Drama,https://archive.org/details/BuncoSquad,,
Burns And Allen,Comedy,https://archive.org/details/TheBurnsAllenShow,,
By Popular Demand,Unknown,,,
California Melodies,Music,https://archive.org/details/CaliforniaMelodies,,
Call The Police,Crime Drama,https://archive.org/details/CallThePolice,,
Calling All Cars,Crime Drama,https://archive.org/details/Calling_All_Cars_OTR,,
Campana Serenade,Music,,,
Campus Capers,Unknown,,,
Campus Correspondent,Unknown,,,
Can You Imagine That,Documentary,https://archive.org/details/OTRR_Can_You_Imagine_That_Singles,,
Can You Tie That,Unknown,,,
Candid Microphone,Non-Fiction,,,
Candy Matson Yukon,Detective,https://archive.org/details/OTRR_Candy_Matson_Singles,,
Captain Flagg And Sergeant Quirt,War Drama,,,
Captain Midnight,Adventure,https://archive.org/details/Captain_Midnight,,
Captain Stubby And His Buccaneers,Music,,,
Carlyle Stevens,Variety,,,
Carolina Cotton Calls,Music,,,
Case Dismissed,Crime Drama,https://archive.org/details/OTRR_Case_Dismissed_Singles,,
Cases Of Mister Ace,Detective,,,
Casey  Crime Photographer,Crime Drama,https://archive.org/details/OTRR_Casey_Crime_Photographer_Singles,,
Cbs Looks At Hollywood,Variety,,,
Cbs Radio Workshop,Anthology,https://archive.org/details/CBSRadioWorkshop,,
Celebrity Club,Variety,,,
Chamber Music Society Of Lower Basin Street,Music,https://archive.org/details/ChamberMusicSocietyOfLowerBasinStreet,,
Chandu The Magician,Adventure,https://archive.org/details/ChanduTheMagician321013TheClockStrikesFive,,
Chaplain Jim,Drama,,,
Cheerio,Non-Fiction,,,
Chevrolet Program,Music,,,
Chicago Theater Of The Air,Anthology,,,
Chick Carter - Boy Detective,Detective,https://archive.org/details/Chick_Carter_Boy_Detective,,
Christmas Sing With Bing,Music,,,
Chuck-wagon Jamboree,Music,,,
Cimarron Tavern,Western,,,
Circus Night In Silvertown,Variety,,,
Cloak And Dagger,War Drama,https://archive.org/details/OTRR_Cloak_and_Dagger_Singles,,
Club Fifteen,Variety,,,
Club Hollywood,Music,https://archive.org/details/otr_clubhollywood,,
Club Oasis,Unknown,,,
Coast To Coast On A Bus,Music,,,
Columbia,Anthology,https://archive.org/details/ColumbiaWorkshop,,
Columbia's Stage Door,Game Show,,,
Comedy Stars Of Hollywood,Comedy,,,
Comic Weekly Man,Comedy,https://archive.org/details/OTRR_Comic_Weekly_Man_Singles,,
Community Sing,Music,,,
Confidential Closeups,Non-Fiction,,,
Conflict,Unknown,,,
Contemporary Composers Concert,Music,,,
Coty Salute To Youth,Variety,,,
Counterspy,War Drama,https://archive.org/details/DavidHarding-counterspy-page1,,
Court Of Human Relations,Documentary,,,
Court Of Mediation,Documentary,,,
Court Of Missing Heirs,Documentary,,,
Creeps By Night,Horror,https://archive.org/details/Creeps_By_Night,,
Crime And Peter Chambers,Detective,https://archive.org/details/OTRR_Crime_and_Peter_Chambers_Singles,,
Crime Classics,Crime Drama,https://archive.org/details/OTRR_Crime_Classics_Singles,,
Crime Correspondent,Crime Drama,https://archive.org/details/otr_crimecorrespondent,,
Crime Does Not Pay,Crime Drama,https://archive.org/details/Crime_Does_Not_Pay,,
Crime On The Waterfront,Crime Drama,https://archive.org/details/CrimeOnTheWaterfront490301TheHeiressCruise,,
Criminal At Large,Crime Drama,,,
Crisco's Star Playhouse,Anthology,,,
Crusader Chronicles,Drama,,,
Curtain Time,Romance,https://archive.org/details/CurtainTime_876,,
Daisy Discovers America,Comedy,,,
Danger Doctor Danfield,Detective,https://archive.org/details/OTRR_Danger_Dr_Danfield_Singles,,
Dangerous Assignment,Adventure,https://archive.org/details/Otrr_Dangerous_Assignment_Singles,,
Dangerously Yours,Romance,https://archive.org/details/OTRR_Dangerously_Yours_Singles,,
Dark Venture,Thriller,https://archive.org/details/DarkVenture,,
Darling And Dearie,Comedy,,,
Date In Hollywood,Unknown,,,
Dear John,Drama,,,
Defense Attorney,Crime Drama,https://archive.org/details/DefenseAttorney,,
Democracy In America,Drama,https://archive.org/details/DemocracyinAmericaOTR,,
Design For Listening,Music,,,
Did Justice Triumph,Detective,,,
Dime-a-month Club,Anthology,,,
Dinah Shore Show,Variety,https://archive.org/details/The_Dinah_Shore_Show,,
Do You Want To Be An Actor,Unknown,,,
Doc Savage,Superhero,,,
Doctor Standish Medical Examiner,Drama,,,
Doctor's Wife,Drama,,,
Doctors Today,Drama,,,
Don't Cheat Uncle Sam,Drama,,,
Double Or Nothing,Game Show,,,
Dr Pepper Parade,Variety,,,
Dr. Sixgun,Western,https://archive.org/details/otr_drsixgun,,
Drama Critics Award,Non-Fiction,,,
Dude Martin's Radio Rancho,Variety,,,
Dude Martin's Sunrise Roundup,Variety,,,
Duffy's Tavern,Comedy,https://archive.org/details/DuffysTavern_896,,
Dyke Easter Detective,Detective,,,
Easy Money,Detective,https://archive.org/details/EasyMoney_197,,
Ed Wynn Show,Comedy,https://archive.org/details/Ed_Wynn_Show,,
Eddie Ryan's Campus Review,Documentary,,,
Edith Adams' Future,Drama,,,
El Lobo Rides Again,Western,,,
Elmer's Juke Box,Music,,,
Encore Theater,Anthology,https://archive.org/details/OTRR_Encore_Theater_Singles,,
Escape,Thriller,https://archive.org/details/OTRR_Escape_Singles,,
Esp,Documentary,,,
Everything For The Boys,Variety,https://archive.org/details/EverythingfortheBoys,,
Expectant Father,Drama,,,
Exploring Tomorrow,Science Fiction,https://archive.org/details/Exploring_Tomorrow,,
Eyes Wright,Music,,,
Family Portrait,Unknown,,,
Family Theater,Anthology,https://archive.org/details/FamilyTheaterJaneEyre,,
Famous Romances,Romance,,,
Fantasy,Fantasy,,,
Father Knows Best,Comedy,https://archive.org/details/Father_Knows_Best,,
Favorite Sports Stories Of Grantland Rice,Sports,,,
Favorite Story,Anthology,https://archive.org/details/otr_favoritestory,,
Feature Wire,Documentary,,,
Feen-a-mint National Amateur Night,Variety,,,
Fifth Row Center,Comedy,,,
Fitch Bandwagon,Variety,,,
Flight With Music,Music,,,
Flit Frolics,Music,,,
Follow The Moon,Unknown,,,
Ford Show,Variety,,,
Foreign Assignment,Adventure,,,
Fort Laramie,Western,https://archive.org/details/OTRR_Fort_Laramie_Singles,,
Four Kings And A Queen,Music,,,
Four Star Playhouse,Drama,,,
Fourth Estate,Drama,,,
Freedom Usa,Drama,,,
Fresh-up Show,Comedy,,,
Front And Center,Variety,,,
Frontier Gentleman,Western,https://archive.org/details/FrontierGentleman-All41Episodes,,
Frontier Theater,Western,,,
Frontier Town,Western,https://archive.org/details/OTRR_Frontier_Town_Singles,,
Fun At Breakfast,Comedy,,,
Fun Fest,Variety,,,
Furlough Fun,Variety,,,
Further Interplanetary Adventures Of Flash Gordon,Science Fiction,https://archive.org/details/Flash_Gordon1935,,
Gasoline Alley,Comedy,https://archive.org/details/OtrGasolineAlley,,
Gay Nineties Review,Variety,,,
General Electric Theater,Anthology,https://archive.org/details/GeneralElectricTheater,,
Glamour Girl,Game Show,,,
Good News Of 1940,Variety,,,
Good News Program,Variety,,,
Granby's Green Acres,Comedy,https://archive.org/details/OtrGranbysGreenAcres,,
Grand Hotel,Drama,,,
Grand Marquee,Drama,,,
Great Moments From Great Plays,Anthology,,,
Guess Who?,Game Show,,,
Gulfspray Presents,Variety,,,
Hail The Champ,Game Show,,,
Hallmark Playhouse,Anthology,https://archive.org/details/HallmarkPlayhouse,,
Hap Hazard,Variety,,,
Harmony Hall,Unknown,,,
Harmony Homestead,Variety,,,
Harry Babbitt Show,Music,,,
Have Gun Will Travel,Western,https://archive.org/details/HaveGunWillTravel_543,,
Hawaii Calls,Variety,,,
Hawk Larabee,Western,https://archive.org/details/HawkLarabee_412,,
Hedda Hopper's Hollywood,Variety,,,
Helen Hayes Theater,Anthology,,,
Hello Mom,Variety,,,
Hello Sucker,Documentary,https://archive.org/details/HelloSucker,,
Hercule Poirot,Detective,https://archive.org/details/otr_herculepoirot-us,,
Here Comes Mcbride,Detective,,,
Heritage,Drama,,,
Hildegarde,Variety,,,
His And Hers,Comedy,,,
Hit Of The Evening,Music,,,
Hit That Ball,Sports,,,
Hobby Lobby,Documentary,,,
Holiday Wilde,Thriller,,,
Hollywood Hotel,Variety,,,
Hollywood Impressions,Unknown,,,
Hollywood Mardi Gras,Variety,,,
Hollywood Merry-go-round,Non-Fiction,,,
Hollywood Preview,Drama,,,
Hollywood Showcase,Variety,,,
Hollywood Spotlight,Music,https://archive.org/details/otr_hollywoodspotlight,,
Hollywood Star Playhouse,Anthology,https://archive.org/details/HollywoodStarPlayhouse,,
Hollywood Star Preview,Drama,,,
Hollywood Star Time,Anthology,https://archive.org/details/HollywoodStarTime,,
Hollywood Story,Drama,,,
Hollywood Theater Of Stars,Anthology,https://archive.org/details/Hollywood_Theatre_Of_Stars,,
Hollywood Tour,Talk Show,,,
Hollywood's Open House,Variety,,,
Home Edition,Unknown,,,
Hometown Jamboree,Variety,,,
Hometown Ohio,Unknown,,,
Homicide O'kane,Detective,,,
Honeymoon In New York,Comedy,,,
Hopalong Cassidy,Western,https://archive.org/details/HopalongCassidy,,
House Party,Variety,,,
How Do You Do It,Unknown,,,
Howard And Shelton,Comedy,,,
I Cover Hollywood,Crime Drama,,,
I Cover The Waterfront,Detective,,,
I Deal In Crime,Crime Drama,https://archive.org/details/I_Deal_In_Crime,,
I Fly Anything,Adventure,https://archive.org/details/IFlyAnything,,
I Love A Mystery,Mystery,https://archive.org/details/otr_iloveamystery,,
I Love Adventure,Adventure,https://archive.org/details/I_Love_Adventure,,
I Want A Divorce,Drama,,,
I Was A Communist For The Fbi,Thriller,,,
I Was There,Documentary,,,
Ice Box Follies,Music,,,
If I Could Live It Over,Drama,,,
Imperial Leader,Drama,,,
In Your Own Words,Documentary,,,
Incredible But True,Documentary,https://archive.org/details/OTRR_Incredible_But_True_Singles,,
Information Pleasex,Game Show,,,
Inheritance,Historical Drama,https://archive.org/details/InheritanceOTR,,
Inner Sanctum Mysteries,Horror,https://archive.org/details/OTRR_Inner_Sanctum_Mysteries_Singles,,
Inspector Thorne,Detective,https://archive.org/details/InspectorThorne,,
Ireene Wicker,Music,,,
Island Venture,Adventure,,,
Isn't It A Crime,Mystery,,,
It Happened In Hollywood,Variety,,,
It Pays To Be Married,Comedy,,,
It's A Living,Comedy,,,
It's A Racket,Unknown,,,
It's Always Sunday,Music,,,
It's Chesterfield Time,Music,,,
It's Higgins Sir,Comedy,https://archive.org/details/ItsHigginsSir,,
It's Us Again,Unknown,,,
Jack Armstrong The All American Boy,Adventure,https://archive.org/details/Jack_Armstrong_The_All_American_Boy,,
Jack Fina Orchestra,Music,,,
Jack Oakie's College,Comedy,,,
Jack Smith Show,Variety,,,
Jason And The Golden Fleece,Adventure,https://archive.org/details/JasonTheGoldenFleeceOTR,,
Jeff Regan Investigator,Detective,https://archive.org/details/Jeff_Regan_Private_Investigator,,
Jimmy Blade And His Music,Music,,,
Jimmy Carroll Sings,Music,,,
Jimmy Fidler Show,Non-Fiction,,,
John Boles Hollywood Extra,Variety,,,
John J Anthony,Talk Show,,,
John Steele Adventurer,Adventure,https://archive.org/details/OTRR_John_Steele_Adventurer_Singles,,
Jolly Bill And Jane,Childrens,,,
Jump Jump And The Ice Queen,Childrens,https://archive.org/details/OTRR_Jump_Jump_Ice_Queen_Singles,,
Jungle Jim,Adventure,https://archive.org/details/JungleJim01,,
Junior Celebrities,Talk Show,,,
Junior Miss,Comedy,,,
Just Entertainment,Variety,,,
Just For You,Variety,,,
Just Outside Hollywood,Comedy,,,
Juvenile Jury,Game Show,,,
Kaltenmeyer's Kindergarten,Comedy,,,
Kate Smith Speaks,Variety,,,
Kay Jewelers' Birthday Book,Non-Fiction,,,
Kay Kyser's Kollege Of Musical Knowledge,Game Show,,,
Keep It In The Family,Game Show,,,
King Of The Royal Mounted,Adventure,,,
Kiss And Make Up Court Of Petty Grievances,Game Show,,,
Knickerbocker Playhouse,Anthology,,,
Kraft Music Hall,Music,https://archive.org/details/KraftMusicHallWithAlJolson471127DorothyLamour,,
Kyser Kollege Of Fun And Knowledge,Non-Fiction,,,
Ladies Be Seated,Game Show,,,
Lady Go Lucky,Game Show,,,
Laugh With Ken Murray,Variety,,,
Lazy Listenin' Time,Unknown,,,
Leave It To Joan,Variety,,,
Leave It To The Girls,Talk Show,,,
Les Miserables,Drama,https://archive.org/details/LesMiserables_352,,
Let George Do It,Detective,https://archive.org/details/OTRR_Let_George_Do_It_Singles,,
Let There Be Music,Music,,,
Let Yourself Go,Variety,,,
Let's Go To Slapsie's,Unknown,,,
Let's Go To Town,Variety,,,
Let's Pretend,Childrens,https://archive.org/details/Lets_Pretend,,
Let's Talk To Lucy,Talk Show,,,
Letters From Abroad,Non-Fiction,,,
Life Begins At Eighty,Game Show,,,
Life With Luigi,Comedy,https://archive.org/details/Life_With_Luigi,,
Light Crust Doughboys,Variety,,,
Lights Out,Horror,https://archive.org/details/LightsOutoldTimeRadio,,
Lincoln Highway,Drama,,,
Lineup,Crime Drama,https://archive.org/details/The_Line_Up,,
Listen To A Love Song,Variety,,,
Little Old Hollywood,Variety,,,
Living In An Atomic Age,Non-Fiction,,,
Log Cabin Inn,Music,,,
Lone Journey,Drama,,,
Lone Wolf,Detective,https://archive.org/details/TheLoneWolf,,
Look And Listen,Unknown,,,
Look Your Best,Unknown,,,
Lora Lawton,Drama,,,
Lord Of The Rings,Drama,,,
Lucky Strike Music Hall,Music,,,
Lucky U Ranch,Variety,,,
Luke Slaughter Of Tombstone,Western,https://archive.org/details/OTRR_Luke_Slaughter_Of_Tombstone_Singles,,
Luncheon With Lopez,Music,,,
Madison That's Me,Unknown,,,
Makers Of History,Documentary,,,
Man Of Magic,Mystery,,,
Mandrake The Magician,Detective,,,
Manhunt,Crime Drama,https://archive.org/details/Manhunt_534,,
Marines Report,War Drama,,,
Married For Life,Unknown,,,
Matinee,Variety,,,
Matinee Theater,Anthology,https://archive.org/details/MatineeTheater,,
Maxine Gray Entertains,Variety,,,
Mayor Of The Town,Comedy,https://archive.org/details/MayorOfTheTown,,
Mcaleer Melodists,Music,,,
Mcgarry And His Mouse,Comedy,,,
Me And My Shadow,Music,,,
Medicine Usa,Drama,,,
Meet Corliss Archer,Comedy,https://archive.org/details/MeetCorlissArcher_14,,
Meet Miss Sherlock,Detective,,,
Meet Mister Mcnutley,Comedy,,,
Meet The Meeks,Comedy,https://archive.org/details/MeetTheMeeks_486,,
Meet The Stars,Unknown,,,
Melody And Madness,Variety,,,
Melody Souvenirs,Music,,,
Memo From Molly,Comedy,,,
Metropolitan Opera Auditions Of The Air,Music,,,
Michael Piper Private Detective,Detective,,,
Mid-morning Matinee,Game Show,,,
Midstream,Drama,,,
Mind Your Manners,Talk Show,https://archive.org/details/Mind_Your_Manners,,
Mirror Reports,Unknown,,,
Mirth And Melody,Variety,,,
Molle Mystery Theater,Mystery,https://archive.org/details/OTRR_Molle_Mystery_Theatre_Singles,,
More About Harris,Comedy,,,
Morning Roundup,Unknown,,,
Morton Downey Show,Music,,,
Motor Oil Review,Music,,,
Mr. Ace And Jane,Comedy,https://archive.org/details/Mr.AceAndJane,,
Mr. And Mrs. Blandings,Comedy,https://archive.org/details/MrMrsBlandingsOtrSitcomOldTimeRadioComedy.caryGrantBetsyDrake,,
Mr. And Mrs. North,Detective,https://archive.org/details/OTRR_Mr_and_Mrs_North_Singles,,
Mr. Chameleon,Detective,https://archive.org/details/Mr_Chameleon,,
Mr. Feathers,Comedy,,,
Mr. President,Drama,https://archive.org/details/Mister_President,,
Mulligan's Travels,Comedy,,,
Murder And Mr. Malone,Detective,,,
Murder At Midnight,Thriller,https://archive.org/details/MuderAtMidnight,,
Murder Will Out,Detective,,,
Music By Gershwin,Music,,,
Music Depreciation,Music,https://archive.org/details/MusicDepreciation,,
Music From Hollywood,Music,,,
Music Of The New World,Music,,,
Music With Wings,Music,,,
My Favorite Husband,Comedy,https://archive.org/details/MyFavoriteHusband,,
My Friend Irma,Comedy,https://archive.org/details/OtrMyFriendIrma,,
My Home Town,Drama,,,
My Little Margie,Comedy,https://archive.org/details/MyLittleMargie550612TripToSilverLakeakaSpendingTheNightOnTheRoof,,
My Son Jeep,Western,https://archive.org/details/MySonJeep,,
My Wildest Dream,Game Show,,,
Myrt And Marge,Drama,https://archive.org/details/MyrtMarge,,
Mysteries Of The Mind,Unknown,,,
Names Of Tomorrow Finding Stardom Today,Unknown,,,
Nbc Emphasis,Non-Fiction,,,
Nbc Little Theater,Comedy,,,
Nbc Short Story,Anthology,https://archive.org/details/NBC_short_story,,
Nbc Star Playhouse,Anthology,https://archive.org/details/NBCStarPlayhouse531227AliceInWonderland,,
Nbc University Theater Of The Air,Anthology,https://archive.org/details/NBC_University_Theater,,
Ned Jordan Secret Agent,Thriller,,,
New Theater,Drama,,,
New York Tonight,Variety,,,
Nick Carter Master Detective,Detective,https://archive.org/details/OTRR_Nick_Carter_Master_Detective_Singles,,
Nightfall,Horror,https://archive.org/details/Nightfall_201408,,
Nona From Nowhere,Drama,https://archive.org/details/NonaFromNowhere,,
Nonsense And Melody,Variety,,,
Now Hear This,War Drama,https://archive.org/details/NowHearThis,,
Oklahoma Roundup,Variety,,,
Old Hag's Hour Glass,Horror,,,
On Stage,Drama,,,
On Your Mark,Game Show,,,
Once Upon Our Time,Variety,,,
One For The Money,Game Show,,,
One Out Of Seven,Documentary,https://archive.org/details/One_Out_Of_Seven,,
Opie Cates Show,Comedy,,,
Orbit One Zero,Science Fiction,,,
Originals By Bennett,Drama,,,
Orphans Of Divorce,Drama,,,
Our America,Unknown,,,
Our Miss Brooks,Comedy,https://archive.org/details/Our_Miss_Brooks,,
Our Town,Drama,https://archive.org/details/OurTown_201310,,
Out Of The Deep,Adventure,,,
Palmolive Beauty Box Theater,Anthology,https://archive.org/details/Palmolive_Beauty_Box_Theater,,
Pappy Smith And His Hired Hands,Variety,,,
Passport For Adams,Drama,,,
Passport To Romance,Variety,,,
Pat Novak For Hire,Detective,https://archive.org/details/PatNovakForHire,,
Paul Whiteman's Christmas Party,Variety,,,
People Are Funny,Game Show,https://archive.org/details/PeopleAreFunny,,
Pete Kelly's Blues,Drama,,,
Philco Radio Time,Music,https://archive.org/details/PhilcoRadioTime,,
Philo Vance,Detective,https://archive.org/details/OTRR_Philo_Vance_Singles,,
Phoenix Sun Ranch Chuck Wagon,Western,,,
Phone Again Finnegan,Comedy,,,
Phyl Coe Radio Mysteries,Mystery,https://archive.org/details/PhylCoe,,
Pick And Pat,Variety,,,
Pitfall,Detective,,,
Plantation Jubilee,Variety,,,
Platter Theater,Unknown,,,
Pleasure Parade,Variety,,,
Point Sublime,Comedy,https://archive.org/details/PointSublime_731,,
Pop Goes The Question,Unknown,,,
Popeye The Sailor,Childrens,https://archive.org/details/PopeyeTheSailor,,
Pot O' Gold,Game Show,,,
Premier Performance,Unknown,,,
Presenting Charles Boyer,Romance,https://archive.org/details/PresentingCharlesBoyer,,
Princess Pat Plays,Unknown,,,
Private Showing,Unknown,,,
Professor Quiz,Game Show,,,
Prowl Car,Crime Drama,,,
Public Defender,Crime Drama,,,
Pursuit,Detective,,,
Quality Set To Music,Music,,,
Quick As A Flash,Game Show,,,
Quiet Please,Horror,https://archive.org/details/Quiet_Please,,
Radio Reader,Drama,,,
Rate Your Mate,Game Show,,,
Ray Herbeck Orchestra,Music,,,
Real Moments Of Romance,Romance,,,
Recollections At 30,Documentary,https://archive.org/details/Recollections_At_30,,
Red Ryder,Western,https://archive.org/details/rfmesser_centurylink,,
Red Skelton Show,Comedy,https://archive.org/details/RedSkeltonStrayAnimals,,
Redd Harper's Hollywood Roundup,Non-Fiction,,,
Request Performance,Variety,https://archive.org/details/RequestPerformance,,
Reveille Roundup,Variety,,,
Rex Allen Show,Music,,,
Riding High,Variety,,,
Ripley's Believe It Or Not,Documentary,,,
Rocky Fortune,Detective,https://archive.org/details/OTRR_Rocky_Fortune_Singles,,
Roger Kilgore Public Defender,Crime Drama,,,
Rogers Of The Gazette,Newspaper Drama,https://archive.org/details/Rogers_Of_The_Gazette,,
Romance In Rhythm,Music,,,
Romance Of The Ranchos,Western,https://archive.org/details/OTRR_Romance_Ranchos_Singles,,
San Francisco Final,Detective,,,
Saturday Night Serenade,Variety,,,
Saunders Of The Circle X,Western,,,
Say It With Words,Unknown,,,
Science Editor,Unknown,,,
Scout About Town,Talk Show,,,
Screen Mystery Club,Mystery,,,
Sealtest Variety Theater,Variety,https://archive.org/details/SealtestVarietyTheater,,
Sealtest Village Store,Comedy,https://archive.org/details/SealtestVillageStore19450117,,
Sears Mid Morning Matinee,Unknown,,,
Second Chance,Game Show,https://archive.org/details/Second_Chance,,
Second Generation,Non-Fiction,,,
Secret Agent K-7 Returns,Mystery,https://archive.org/details/SecretAgentK-7Returns,,
Security Agent Usa,Adventure,,,
Shadow Of Fu Manchu,Thriller,,,
Shaffer Parade,Music,,,
Shell Chateau,Music,https://archive.org/details/OTRR_Shell_Chateau_Singles,,
Sherlock Holmes,Detective,https://archive.org/details/OTR_Sherlock_Holmes_smurfmeat,,
Shirley Temple Time,Comedy,,,
Shorty Bell,Newspaper Drama,https://archive.org/details/Shorty_Bell_Cub_Reporter,,
Show Stoppers,Variety,,,
Show World,Non-Fiction,,,
Sigmund Spaeth's Music Quiz,Game Show,,,
Silent Men,Crime Drama,https://archive.org/details/TheSilentMen,,
Silver Theater,Anthology,https://archive.org/details/SilverTheater,,
Sing Along,Music,,,
Sing It Again,Music,,,
Singing In The Morning,Music,,,
Skip And Score,Game Show,,,
Sleep No More,Thriller,https://archive.org/details/Sleep_No_More,,
Smilin Ed's Buster Brown Gang,Comedy,https://archive.org/details/Buster_Brown_Gang,,
Snow Village Sketches,Comedy,,,
So You Think It's New,Documentary,,,
Socony Sketchbook,Variety,,,
Something For The Family,Unknown,,,
Something For The Girls,Variety,,,
Son Of Porthos,Drama,,,
Songs By Sinatra,Music,https://archive.org/details/SongsBySinatra451017FirstSongWhatMakesTheSunSet,,
Space Patrol,Science Fiction,https://archive.org/details/OTRR_Space_Patrol_Singles,,
Spectrum,Unknown,,,
Sports Digest,Sports,,,
Spotlight Album,Music,,,
Spotlight Revue,Variety,,,
Stage Career,Unknown,,,
Stage Struck,Variety,,,
Stairway To The Stars,Variety,,,
Stand Up And Be Counted,Unknown,,,
Star-spangled Banner,Unknown,,,
Starring Boris Karloff,Anthology,,,
Stars In The Spotlight,Unknown,,,
Stoopnagle And Budd,Comedy,https://archive.org/details/StoopnagleBuddIfWeSupervisedRadio15March1935Cbs,,
Stop Me If You've Heard This One,Comedy,,,
Stories From The American Scene,Drama,,,
Straight Arrow,Western,https://archive.org/details/StraightArrow,,
Strange,Thriller,,,
Stroke Of Fate,Drama,,,
Studio One,Anthology,https://archive.org/details/StudioOne,,
Styles By Simeone,Music,,,
Summer Stars,Unknown,,,
Surprise Endings,Unknown,,,
Suspense Story,Thriller,,,
Sweeney And March,Comedy,,,
Swinging Around The Clock,Music,,,
Symphonies For Youth,Music,,,
T-man,Crime Drama,https://archive.org/details/TMan-1Episode,,
Take It Or Leave It,Game Show,,,
Talent Theater,Variety,,,
Tales Of The Texas Rangers,Western,https://archive.org/details/TalesOfTheTexasRangers,,
Tales Of Tomorrow,Science Fiction,https://archive.org/details/Tales_Of_Tomorrow,,
Tales Of Willie Piper,Comedy,,,
Tarzan,Adventure,https://archive.org/details/Tarzan1951,,
Tell It Again,Drama,,,
Tell Me A Story,Drama,,,
Tell Your Neighbor,Non-Fiction,,,
Ten-two-four Ranch,Variety,,,
Tennessee Party Time,Unknown,,,
