Show,Identifier
Dear John,
Defense Attorney,DefenseAttorney
Democracy In America,DemocracyinAmericaOTR
Design For Listening,
Did Justice Triumph,
Dime-a-month Club,
Dinah Shore Show,The_Dinah_Shore_Show
Do You Want To Be An Actor,
Doc Savage,
Doctor Standish Medical Examiner,
Doctor's Wife,
Doctors Today,
Don't Cheat Uncle Sam,
Double Or Nothing,
Dr Pepper Parade,
Dr. Sixgun,otr_drsixgun
Drama Critics Award,
Dude Martin's Radio Rancho,
Dude Martin's Sunrise Roundup,
Duffy's Tavern,DuffysTavern_896
Dyke Easter Detective,
Easy Money,EasyMoney_197
Ed Wynn Show,Ed_Wynn_Show
Eddie Ryan's Campus Review,
Edith Adams' Future,
El Lobo Rides Again,
Elmer's Juke Box,
Encore Theater,OTRR_Encore_Theater_Singles
Escape,OTRR_Escape_Singles
Esp,
Everything For The Boys,EverythingfortheBoys
Expectant Father,
Exploring Tomorrow,Exploring_Tomorrow
Eyes Wright,
Family Portrait,
Family Theater,FamilyTheaterJaneEyre
Famous Romances,
Fantasy,
Father Knows Best,Father_Knows_Best
Favorite Sports Stories Of Grantland Rice,
Favorite Story,otr_favoritestory
Feature Wire,
Feen-a-mint National Amateur Night,
Fifth Row Center,
Fitch Bandwagon,
Flight With Music,
Flit Frolics,
Follow The Moon,
Ford Show,
Foreign Assignment,
Fort Laramie,OTRR_Fort_Laramie_Singles
Four Kings And A Queen,
Four Star Playhouse,
Fourth Estate,
Freedom Usa,
Fresh-up Show,
Front And Center,
Frontier Gentleman,FrontierGentleman-All41Episodes
Frontier Theater,
Frontier Town,OTRR_Frontier_Town_Singles
Fun At Breakfast,
Fun Fest,
Furlough Fun,
Further Interplanetary Adventures Of Flash Gordon,Flash_Gordon1935
Gasoline Alley,OtrGasolineAlley
Gay Nineties Review,
General Electric Theater,GeneralElectricTheater
Glamour Girl,
Good News Of 1940,
Good News Program,
Granby's Green Acres,OtrGranbysGreenAcres
Grand Hotel,
Grand Marquee,
Great Moments From Great Plays,
Guess Who?,
Gulfspray Presents,
Hail The Champ,
Hallmark Playhouse,HallmarkPlayhouse
Hap Hazard,
Harmony Hall,
Harmony Homestead,
Harry Babbitt Show,
Have Gun Will Travel,HaveGunWillTravel_543
Hawaii Calls,
Hawk Larabee,HawkLarabee_412
Hedda Hopper's Hollywood,
Helen Hayes Theater,
Hello Mom,
Hello Sucker,HelloSucker
Hercule Poirot,otr_herculepoirot-us
Here Comes Mcbride,
Heritage,
Hildegarde,
His And Hers,
Hit Of The Evening,
Hit That Ball,
Hobby Lobby,
Holiday Wilde,
Hollywood Hotel,
Hollywood Impressions,
Hollywood Mardi Gras,
Hollywood Merry-go-round,
Hollywood Preview,
Hollywood Showcase,
Hollywood Spotlight,otr_hollywoodspotlight
Hollywood Star Playhouse,HollywoodStarPlayhouse
Hollywood Star Preview,
Hollywood Star Time,HollywoodStarTime
Hollywood Story,
Hollywood Theater Of Stars,Hollywood_Theatre_Of_Stars
Hollywood Tour,
Hollywood's Open House,
Home Edition,
Hometown Jamboree,
Hometown Ohio,
Homicide O'kane,
Honeymoon In New York,
Hopalong Cassidy,HopalongCassidy
House Party,
How Do You Do It,
Howard And Shelton,
I Cover Hollywood,
I Cover The Waterfront,
I Deal In Crime,I_Deal_In_Crime
I Fly Anything,IFlyAnything
I Love A Mystery,otr_iloveamystery
I Love Adventure,I_Love_Adventure
I Want A Divorce,
I Was A Communist For The Fbi,
I Was There,
Ice Box Follies,
If I Could Live It Over,
Imperial Leader,
In Your Own Words,
Incredible But True,OTRR_Incredible_But_True_Singles
Information Pleasex,
Inheritance,InheritanceOTR
Inner Sanctum Mysteries,OTRR_Inner_Sanctum_Mysteries_Singles
Inspector Thorne,InspectorThorne
Ireene Wicker,
Island Venture,
Isn't It A Crime,
It Happened In Hollywood,
It Pays To Be Married,
It's Always Sunday,
It's Chesterfield Time,
It's Higgins Sir,ItsHigginsSir
It's Us Again,
It's A Living,
It's A Racket,
Jack Armstrong The All American Boy,Jack_Armstrong_The_All_American_Boy
Jack Fina Orchestra,
Jack Oakie's College,
Jack Smith Show,
Jason And The Golden Fleece,JasonTheGoldenFleeceOTR
Jeff Regan Investigator,Jeff_Regan_Private_Investigator
Jimmy Blade And His Music,
Jimmy Carroll Sings,
Jimmy Fidler Show,
John Boles Hollywood Extra,
John J Anthony,
John Steele Adventurer,OTRR_John_Steele_Adventurer_Singles
Jolly Bill And Jane,
Jump Jump And The Ice Queen,OTRR_Jump_Jump_Ice_Queen_Singles
Jungle Jim,JungleJim01
Junior Celebrities,
Junior Miss,
Just Entertainment,
Just For You,
Just Outside Hollywood,
Juvenile Jury,
Kaltenmeyer's Kindergarten,
Kate Smith Speaks,
Kay Jewelers' Birthday Book,
Kay Kyser's Kollege Of Musical Knowledge,
Keep It In The Family,
King Of The Royal Mounted,
Kiss And Make Up Court Of Petty Grievances,
Knickerbocker Playhouse,
Kraft Music Hall,KraftMusicHallWithAlJolson471127DorothyLamour
Kyser Kollege Of Fun And Knowledge,
Ladies Be Seated,
Lady Go Lucky,
Laugh With Ken Murray,
Lazy Listenin' Time,
Leave It To Joan,
Leave It To The Girls,
Les Miserables,LesMiserables_352
Let George Do It,OTRR_Let_George_Do_It_Singles
Let There Be Music,
Let Yourself Go,
Let's Go To Slapsie's,
Let's Talk To Lucy,
Let's Go To Town,
Let's Pretend,Lets_Pretend
Letters From Abroad,
Life Begins At Eighty,
Life With Luigi,Life_With_Luigi
Light Crust Doughboys,
Lights Out,LightsOutoldTimeRadio
Lincoln Highway,
Lineup,The_Line_Up
Listen To A Love Song,
Little Old Hollywood,
Living In An Atomic Age,
Log Cabin Inn,
Lone Journey,
Lone Wolf,TheLoneWolf
Look And Listen,
Look Your Best,
Lora Lawton,
Lord Of The Rings,
Lucky Strike Music Hall,
Lucky U Ranch,
Luke Slaughter Of Tombstone,OTRR_Luke_Slaughter_Of_Tombstone_Singles
Luncheon With Lopez,
Madison That's Me,
Makers Of History,
Man Of Magic,
Mandrake The Magician,
Manhunt,Manhunt_534
Marines Report,
Married For Life,
Matinee,
Matinee Theater,MatineeTheater
Maxine Gray Entertains,
Mayor Of The Town,MayorOfTheTown
Mcaleer Melodists,
Mcgarry And His Mouse,
Me And My Shadow,
Medicine Usa,
Meet Corliss Archer,MeetCorlissArcher_14
Meet Miss Sherlock,
Meet Mister Mcnutley,
Meet The Meeks,MeetTheMeeks_486
Meet The Stars,
Melody And Madness,
Melody Souvenirs,
Memo From Molly,
Metropolitan Opera Auditions Of The Air,
Michael Piper Private Detective,
Mid-morning Matinee,
Midstream,
Mind Your Manners,Mind_Your_Manners
Mirror Reports,
Mirth And Melody,
Molle Mystery Theater,OTRR_Molle_Mystery_Theatre_Singles
More About Harris,
Morning Roundup,
Morton Downey Show,
Motor Oil Review,
Mr. Ace And Jane,Mr.AceAndJane
Mr. And Mrs. Blandings,MrMrsBlandingsOtrSitcomOldTimeRadioComedy.caryGrantBetsyDrake
Mr. And Mrs. North,OTRR_Mr_and_Mrs_North_Singles
Mr. Chameleon,Mr_Chameleon
Mr. Feathers,
Mr. President,Mister_President
Mulligan's Travels,
Murder And Mr. Malone,
Murder At Midnight,MuderAtMidnight
Murder Will Out,
Music By Gershwin,
Music Depreciation,MusicDepreciation
Music From Hollywood,
Music Of The New World,
Music With Wings,
My Favorite Husband,MyFavoriteHusband
My Friend Irma,OtrMyFriendIrma
My Home Town,
My Little Margie,MyLittleMargie550612TripToSilverLakeakaSpendingTheNightOnTheRoof
My Son Jeep,MySonJeep
My Wildest Dream,
Myrt And Marge,MyrtMarge
Mysteries Of The Mind,
Names Of Tomorrow Finding Stardom Today,
Nbc Emphasis,
Nbc Little Theater,
Nbc Short Story,NBC_short_story
Nbc Star Playhouse,NBCStarPlayhouse531227AliceInWonderland
Nbc University Theater Of The Air,NBC_University_Theater
Ned Jordan Secret Agent,
New Theater,
New York Tonight,
Nick Carter Master Detective,OTRR_Nick_Carter_Master_Detective_Singles
Nightfall,Nightfall_201408
Nona From Nowhere,NonaFromNowhere
Nonsense And Melody,
Now Hear This,NowHearThis
Oklahoma Roundup,
Old Hag's Hour Glass,
On Stage,
On Your Mark,
Once Upon Our Time,
One For The Money,
One Out Of Seven,One_Out_Of_Seven
Opie Cates Show,
Orbit One Zero,
Originals By Bennett,
Orphans Of Divorce,
Our America,
Our Miss Brooks,Our_Miss_Brooks
Our Town,OurTown_201310
Out Of The Deep,
Palmolive Beauty Box Theater,Palmolive_Beauty_Box_Theater
Pappy Smith And His Hired Hands,
Passport For Adams,
Passport To Romance,
Pat Novak For Hire,PatNovakForHire
Paul Whiteman's Christmas Party,
People Are Funny,PeopleAreFunny
Pete Kelly's Blues,
Philco Radio Time,PhilcoRadioTime
Philo Vance,OTRR_Philo_Vance_Singles
Phoenix Sun Ranch Chuck Wagon,
Phone Again Finnegan,
Phyl Coe Radio Mysteries,PhylCoe
Pick And Pat,
Pitfall,
Plantation Jubilee,
Platter Theater,
Pleasure Parade,
Point Sublime,PointSublime_731
Pop Goes The Question,
Popeye The Sailor,PopeyeTheSailor
Pot O' Gold,
Premier Performance,
Presenting Charles Boyer,PresentingCharlesBoyer
Princess Pat Plays,
Private Showing,
Professor Quiz,
Prowl Car,
Public Defender,
Pursuit,
Quality Set To Music,
Quick As A Flash,
Quiet Please,Quiet_Please
Radio Reader,
Rate Your Mate,
Ray Herbeck Orchestra,
Real Moments Of Romance,
Recollections At 30,Recollections_At_30
Red Ryder,rfmesser_centurylink
Red Skelton Show,RedSkeltonStrayAnimals
Redd Harper's Hollywood Roundup,
Request Performance,RequestPerformance
Reveille Roundup,
Rex Allen Show,
Riding High,
Ripley's Believe It Or Not,
Rocky Fortune,OTRR_Rocky_Fortune_Singles
Roger Kilgore Public Defender,
Rogers Of The Gazette,Rogers_Of_The_Gazette
Romance In Rhythm,
Romance Of The Ranchos,OTRR_Romance_Ranchos_Singles
San Francisco Final,
Saturday Night Serenade,
Saunders Of The Circle X,
Say It With Words,
Science Editor,
Scout About Town,
Screen Mystery Club,
Sealtest Variety Theater,SealtestVarietyTheater
Sealtest Village Store,SealtestVillageStore19450117
Sears Mid Morning Matinee,
Second Chance,Second_Chance
Second Generation,
Secret Agent K-7 Returns,SecretAgentK-7Returns
Security Agent Usa,
Shadow Of Fu Manchu,
Shaffer Parade,
Shell Chateau,OTRR_Shell_Chateau_Singles
Sherlock Holmes,OTR_Sherlock_Holmes_smurfmeat
Shirley Temple Time,
Shorty Bell,Shorty_Bell_Cub_Reporter
Show Stoppers,
Show World,
Sigmund Spaeth's Music Quiz,
Silent Men,TheSilentMen
Silver Theater,SilverTheater
Sing Along,
Sing It Again,
Singing In The Morning,
Skip And Score,
Sleep No More,Sleep_No_More
Smilin Ed's Buster Brown Gang,Buster_Brown_Gang
Snow Village Sketches,
So You Think It's New,
Socony Sketchbook,
Something For The Family,
Something For The Girls,
Son Of Porthos,
Songs By Sinatra,SongsBySinatra451017FirstSongWhatMakesTheSunSet
Space Patrol,OTRR_Space_Patrol_Singles
Spectrum,
Sports Digest,
Spotlight Album,
Spotlight Revue,
Stage Career,
Stage Struck,
Stairway To The Stars,
Stand Up And Be Counted,
Star-spangled Banner,
Starring Boris Karloff,
Stars In The Spotlight,
Stoopnagle And Budd,StoopnagleBuddIfWeSupervisedRadio15March1935Cbs
Stop Me If You've Heard This One,
Stories From The American Scene,
Straight Arrow,StraightArrow
Strange,
Stroke Of Fate,
Studio One,StudioOne
Styles By Simeone,
Summer Stars,
Surprise Endings,
Suspense Story,
Sweeney And March,
Swinging Around The Clock,
Symphonies For Youth,
T-man,TMan-1Episode
Take It Or Leave It,
Talent Theater,
Tales Of The Texas Rangers,TalesOfTheTexasRangers
Tales Of Tomorrow,Tales_Of_Tomorrow
Tales Of Willie Piper,
Tarzan,Tarzan1951
Tell It Again,
Tell Me A Story,
Tell Your Neighbor,
Ten-two-four Ranch,
Tennessee Party Time,
Texaco Star Theater,FredAllen-texacoStarTheater1941-1944
Texaco Star Theater Summer Show,
That Brewster Boy,
That Hammer Guy,ThatHammerGuy
That's Rich,ThatsRich
The Abbott And Costello Show,Abbott_And_Costello_otr
The Abe Burrows Show,PublicDomainTheAbeBurrowsShow
The Adventures Of Annie Oakley And Tagg,
The Adventures Of Babe Ruth,Babe_Ruth
The Adventures Of Charlie Lung,
The Adventures Of Christopher London,ChristopherLondon
The Adventures Of Ellery Queen,ElleryQueen
The Adventures Of Father Brown,TheAdventuresOfFatherBrown
The Adventures Of Frank Merriwell,AdventuresofFrankMerriwell
The Adventures Of Frank Race,OTRR_Frank_Race_Singles
The Adventures Of Horatio Hornblower,Adventures_of_Horatio_Hornblower
The Adventures Of Jane Arden,
The Adventures Of Johnny Lujack,
The Adventures Of Maisie,Maisie
The Adventures Of Michael Shayne,TheNewAdventuresOfMichaelShaynePrivateDetective
The Adventures Of Nero Wolfe,OTRR_New_Adventures_of_Nero_Wolfe_Singles
The Adventures Of Ozzie And Harriet,AdventuresOfOzzie_Harriet
The Adventures Of Paul Temple ,
The Adventures Of Philip Marlowe,OTRR_Philip_Marlowe_Singles
The Adventures Of Robin Hood,
The Adventures Of Rocky Jordan,
The Adventures Of Sally In Hollywood Land,
The Adventures Of Sam Spade,TheAdventuresOfSamSpade481031TheFairleyBrightCaper
The Adventures Of The Scarlet Cloak,Otr-adventuresOfTheScarletCloak-auditionEpisode50-2-15.mp3
The Al Pearce Show,
The Aladdin Kerosene Mantle Lamp Program,
The Alan Young Show,AlanYoungShow_259
The Amazing Mr. Malone,
The Amazing Mr. Tutt,
The Andrews Sisters,AndrewsSisters451128AbbottAndCostello
The Avenger,Avenger_681
The Babbitt Sisters In Another Part Of Hollywoo,
The Baby Snooks Show,OTR_Baby-Snooks
The Baker's Broadcast,
The Barbara Welles Show,
The Beatrice Kaye Show,
The Ben Bernie Show,
The Better Half,
The Beulah Show,TheBeulahShow
The Bickersons,TheBickersons54Episodes
The Big Guy,
The Big Story,OTRR_Big_Story_Singles
The Big Time,
The Billy Gray Bandbox,
The Billy May Show,
The Bing Crosby Show,
The Black Book,TheBlackBookOTR
The Blue Beetle,OTRR_Blue_Beetle_Singles
The Bob And Ray Show,otr_bobandray
The Bob Burns Program,
The Bob Crosby Show,
The Bob Hope Show,otr_bobhopeshow
The Bob Smith Show,
The Borden Program,
The Canary Pet Show,
The Casebook Of Gregory Hood,CasebookOfGregoryHood
The Celanese Hour,
The Charlie Mccarthy Show,CharlieMcCarthy47011910thAnniversaryShow
The Charlie Ruggles Show,
The Charlotte Greenwood Show,
The Chase,
The Chesterfield Music Shop,
The Chesterfield Supper Club,ChesterfieldSupperClub
The Circle,
The Circle Arrow Show,
The Cisco Kid,CiscoKid
The Clint Noble Program,
The Clock,TheClock_451
The Clyde Beatty Show,Clyde_Beatty_Show
The Cobbs,
The Coca Cola Top Notchers,Coca-Cola_Top_Notchers
The Colgate House Party,
The Comedy Playhouse,
The Comedy Writer,
The Connee Boswell Show,Connee_Boswell_Show
The Count Of Monte Cristo,
The Country Editor,
The Crime Club,OTRR_Crime_Club_Singles
The Crime Files Of Flamond,
The Cruise Of The Poll Parrot,OTRR_Cruise_Of_The_Poll_Parrot_Singles
The Curtain Of Time,
The Danny Kaye Show,dannykayeshow
The Day Of The Triffids,
The Defense Rests,
The Doctor Fights,
The Don Ameche Show,
The Drene Show,
The Easy Aces,otr_easyaces
The Eddie And Ralph Show,
The Eddie Bracken Show,
The Eddie Cantor Show,EddieCantorShow480108GuestAlJolson
The Eddy Arnold Show,
The Elroy Hirsch Sports Show,
The Empire Builders,
The Enchanted Hour,TheEnchantedHour
The Endless Frontier,
The Fact Finder,
The Falstaff Show,
The Family Hour Of Stars,
The Fat Man,otr_fatman
The Feeling Is Mutual,
The Fighting Parson,
The Fire Chief Concert,
The Fire Chief Program,TheFireChief
The First Nighter Program,
The Fountain Of Fun,
The Frances Langford Show,otr_franceslangfordshow
The Frank Fontaine Show,
The Frank Morgan Show,
The Frank Parker Show,
The Fred Allen Show,FredAllen--theFredAllenShow1945-1949
The Fred Waring Show,
The Free Company,
The Garden Gate,
The General,
The General Motors Symphony Concert,
The Gentleman Adventurer,
The George Byron Show,
The Good Gulf Program,
The Gordon Macrae Show,
The Gracie Fields Show,
The Great Gildersleeve,Otrr_The_Great_Gildersleeve_Singles
The Greatest Story Ever Told,
The Green Lama,GreenLama
The Grouch Club,
The Guy Lombardo Show,
The Halls Of Ivy,OTRR_Halls_Of_Ivy_Singles
The Happiness Boys,
The Hardy Family,OtrTheHardyFamily
The Harry Revel Show,
The Harry Von Zell Show,
The Harvest Of Stars,
The Henry Morgan Show,TheHenryMorganShowPartOne
The Hillman Hour,
The Hollywood Players,
The Honorable Archie,
The Hoofers,
The Hotpoint Holiday Hour,
The House Of Glass,
The Jack Benny Show,JackBenny1
The Jack Berch Show,
The Jack Carson Show,
The Jack Haley Show,
The Jack Kirkwood Show,
The Jack Paar Show,Jack_Paar_Show
The Jackie Hill Show,
The James Melton Show,
The Jane Pickens Show,
The Jimmy Durante And Garry Moore Show,Jimmy_Durante_And_Garry_Moore_Show
The Jimmy Durante Show,TheJimmyDuranteShow
The Joan Davis Show,
The Joe E Brown Show,
The Joe Mcdoaks Show,
The Joe Penner Show,
The John Charles Thomas Show,
The Judge,
The Judy Canova Show,The.Judy.Canova.Show
The Jumping Beans,
The Kenny Baker Show,
The Kid On The Corner,
The Kiis Hall Of Horrors,
The Laurel And Hardy Show,
The Lee Simms Show,
The Les Paul Show,TheLesPaulShow
The Life Of Riley,TheLifeOfRiley
The Lifebuoy Show,
The Light Of The World,
The Lion's Roar,
The Listening Post,
The Little Show,
The Lives Of Harry Lime,TheLivesOfHarryLime
The Lone Ranger,The_Lone_Ranger_page1
The Louella Parsons Show,
The Magic Of Music,
The Magnificent Montague,MagnificentMontague
The Man Behind The Masterpiece,
The Man Called X,the_man_called_x
The Man In Black,
The Mario Lanza Show,
The Marriage,OTRR_Certified_The_Marriage
The Martin And Lewis Show,MartinAndLewis_OldTimeRadio
The Mary Small Show,
The Mccoy,
The Mgm Theater Of The Air,MGMTheateroftheAir
The Mickey Mouse Theater Of The Air,MickeyMouseTheateroftheAir
The Milton Berle Show,Milton_Berle
The Mindy Carson Show,
The Minstrel Train,
The Mitch Miller Show,
The Modern Adventures Of Casanova,
The Moonstone,
The Mutual Radio Theater,
The Mysterious Traveler,TheMysteriousTraveler
The Nate Gross Show,
The Navel Air Reserve Show,
The Nelson Eddy Show,
The Nestle Program,
The New Swan Show,New_Swan_Show_November_7_1948
The Notorious Tariq,
The Old Gold Comedy Theater,OTRR_Old_Gold_Comedy_Theater_Singles
The Olsen And Johnson Show,
The P.A.L. Show,
The Packard Hour,
The Packard Summer Hour,
The Paul Whiteman Show,
The Peggy Lee Show,
The Penny Singleton Show,
The Peter Donald Show,
The Phil Harris - Alice Faye Show,PhilHarrisAliceFaye1949
The Price Of Silence,
The Private Life Of Rochester Van Jones,ThePrivateLifeOfRochesterVanJones
The Private Practice Of Dr Dana,
The Quick And The Dead,
The Quiz Kids,QuizKids
The Radio Edition Of The Bible,
The Radio Hall Of Fame,PhilcoRadioHallofFame
The Ransom Sherman Show,
The Ray Bolger Show,
The Red Nichols Show,
The Revuers,
The Road To Danger,
The Roma Wine Show,
The Rosemary Clooney Show,
The Roy Rogers Show,The_Roy_Rogers_Show
The Ruggles,TheRugglesTheDriversTestPart1
The Sad Sack,TheSadSack
The Saint,TheSaintVincentPriceOTR
The Saturday Night Bond Wagon,
The Sealed Book,OTRR_Sealed_Book_Singles
The Shadow,1985TheStoryOfTHESHADOWRadioDocumentary
The Sheila Graham Show,
The Show Goes On,
The Signal Carnival,
The Silver Eagle,
The Six Shooter,OTRR_The_Six_Shooter_Singles
The Smiths Of Hollywood,SmithsOfHollywood
The Soft Songs Program,
The Spike Jones Show,SpikeJones
The Stan Kenton Show,
The Star And The Story,
The Steve Allen Show,SteveAllenShow500604WithEveArdenJackBennyGroucho
The Story Of Aunt Mary,
The Story Of Bud Barton,
The Story Of Dr Kildare,OTRR_Dr_Kildare_Singles
The Strange Dr. Weird,OTRR_Strange_Dr_Weird_Singles
The Tex And Jinx Show,
The Three Suns Show,
The Time The Place And The Tune,
The Tom Mix Ralston Straightshooters,
The Tommy Dorsey Playshop,
The Voyage Of The Scarlet Queen,VoyageOfTheScarletQueen
The Wayne King Show,
The Whisperer,TheWhisperer_420
The Winner,
The Woody Woodpecker Show,
The Wor Summer Theater,
The Young In Heart,
The Zane Grey Show,
Theater Five,OTRR_Theater_Five_Singles
Theater U.S.A,
Thirty Minutes In Hollywood,ThirtyMinutesInHollywood371024GuestJudyGarland
This Fabulous World,
This Is Our America,
This Is Your Fbi,thisisyourfbi2
This Is Your Life,
Three Of A Kind,
Three Pairs And An Ace,
Three Strikes And You're Out,
Time For Love,
Time Out For Comment,
Time Out With Allen Prescott,
Too Many Cooks,
Top Secret,Top_Secret
Tops In Sports,
Trommer's Troopers,
Tune Time,
Tune Up America,
Turk Murphy And His Dixieland Band,
Twenty Questions,
Uncle Ezra Show,
Uncle Judge Ben,
Up For Parole,UpForParole-Otr
Variations By Van Cleave,
Vernon Crane's Storybook,
Vicks Romantic Bachelor,
Victor Borge Show,TRR_Victor_Borge_Collection_Singles
Violence,
Voices And Events,
Waikiki Club,
Wake-up Ranch,
Wanted,
War Town,
Wayside Theatre,
We Are Always Young,
What's The Matter With Father,
White Fires Of Inspiration,
Wild Bill Hickok,WildBill
Witch's Tale,WitchsTale1934
With Book And Pipe,
Women's Prison,
World's Greatest Novels,
X Minus One,OTRR_X_Minus_One_Singles
Yawn Patrol,
Yes Or No,
You Are The Jury,
You Bet Your Life,YouBetYourLife_530
You Can Be An Actor,
You're Only Young Once,
Young Love,YoungLove_85
Your Crossword Quiz,
Your Daytime Radio Newspaper,
Your Hit Parade,YourHitParade_OTR_3419
Your Preview Theater Of The Air,
Your Quarter Hour Serenade,
Your Radio Almanac,
Your Star Time,
Your Story Parade,
Zero Hour,
