SHOW,TYPE,NAME
BARREL OF FUN,Star,Benny Rubin
BARREL OF FUN,Star,Charlie Ruggles
BARREL OF FUN,Star,Verna Felton
BARRY WOOD SHOW,Star,Barry Wood
BARRY WOOD SHOW,Star,Margaret Whiting
BARRY WOOD SHOW,Star,The Melody Maids
BASIN STREET,Host,Milton Cross
BATTLE OF THE SEXES,Host,Alan King
BATTLE OF THE SEXES,Announcer,Jack Costello
BATTLE STATIONS,Announcer,Jack Costello
BEAT THE BAND,Announcer,Marvin Miller
BEAT YOUR WIFE,Announcer,Willard Scott
BEAUTY VS. BRAINS,Announcer,Al Owen
BEAUTY VS. BRAINS,Host,Win Elliot
BEHIND THE FRONT PAGE,Announcer,Cy Harrice
BEHIND THE FRONT PAGE,Host,Gabriel Heatter
BEHIND THE MIKE,Host,Graham Mcnamee
BEHIND THE SCENES,Host,Knox Manning
BEHIND THE SCENES AT CBS,Host,Douglas Edwards
BENNY GOODMAN MUSIC FESTIVAL,Announcer,Bud Collyer
BEST OF ALL,Announcer,Kenneth Banghart
BEST PLAYS,Host,John Chapman
BIG JIM MC LAIN,Star,Jim Arness
BIG JIM MC LAIN,Host,John M Kennedy
BIG MOMENTS IN SPORTS,Announcer,Bill Readick
BIG TOWN,Star,Edward Pawley
BIG TOWN,Star,Fran Carlon
BIG TOWN,Star,Robert Dryden
BILLY ROSE'S JUMBO,Star,Charles Henderson's Singing Razorbacks
BILLY ROSE'S JUMBO,Star,Donald Novis
BILLY ROSE'S JUMBO,Star,Gloria Grafton
BILLY ROSE'S JUMBO,Announcer,Louis A. Witten
BIRDS EYE OPEN HOUSE,Host,Dinah Shore
BIRDS EYE OPEN HOUSE,Announcer,Harry Von Zell
BLACK HOOD,Star,Scott Douglas
BLACKSTONE THE MAGIC DETECTIVE,Star,Ed Jerom
BLIND DATE,Host,Arlene Francis
BLONDIE,Star,Arthur Lake
BLONDIE,Announcer,Bill Goodwin
BLONDIE,Star,Penny Singleton
BLUE RIBBON TOWN,Star,Kenny Baker
BOB AND VICTORIA,Star,Bob Bailey
BOB CARLETON SHOW,Star,Bob Carleton
BOB CARLETON SHOW,Star,The Gene Plummer Quartet
BOB POOLE SHOW,Star,Bob Poole
BOLD VENTURE,Star,Humphrey Bogart
BOLD VENTURE,Star,Lauren Bacal
BOSTON BLACKIE,Star,Chester Morris
BOSTON BLACKIE,Announcer,Harlow Wilcox
BOX OFFICE,Host,Edward Arnold
BOYD RAEBURN SHOW,Star,Boyd Raeburn
BOYD RAEBURN SHOW,Star,Ginny Powell
BREAKFAST AT SARDI,Host,Tom Breneman
BREAKFAST IN HOLLYWOOD,Host,Tom Breneman
BRIGHT STAR,Star,Fred Macmurray
BRIGHT STAR,Star,Irene Dunne
BRING Š—ç’__’‘’£’‘_EM BACK ALIVE,Star,Frank Buck
BROADWAY'S MY BEAT,Star,Larry Thor
BROWNSTONE THEATER,Host,Clayton Hamilton
BULLDOG DRUMMOND,Star,Ned Wever
BUNCO SQUAD,Announcer,Ralph Rose
BURNS AND ALLEN,Announcer,Ken Niles
BY POPULAR DEMAND,Host,Bud Collyer
BY POPULAR DEMAND,Star,Harry Babbitt
BY POPULAR DEMAND,Star,Mary Small
CALIFORNIA MELODIES,Star,Art Tatum
CALIFORNIA MELODIES,Announcer,Bill Gordon
CALIFORNIA MELODIES,Star,Maxine Gray
CALL THE POLICE,Star,Amzie Strickland
CALL THE POLICE,Star,George Petrie
CALL THE POLICE,Announcer,Jay Simms
CALL THE POLICE,Star,Robert Dryden
CALLING ALL CARS,Announcer,Berry Krieger
CAMPANA SERENADE,Star,Dick Powell
CAMPANA SERENADE,Star,Martha Tilton
CAMPUS CAPERS,Host,Franklyn Bresee
CAMPUS CORRESPONDENT,Host,Marvin Camries
CAN YOU IMAGINE THAT,Star,Lindsey Mccary
CAN YOU TIE THAT,Host,Al Jarvis
CANDID MICROPHONE,Host,Alan Funt
CANDY MATSON YUKON,Star,Natalie Masters
CAPTAIN FLAGG AND SERGEANT QUIRT,Star,Edmund Lowe
CAPTAIN FLAGG AND SERGEANT QUIRT,Star,William Gargan
CAPTAIN MIDNIGHT,Star,Boris Aplon
CAPTAIN MIDNIGHT,Star,Ed Prentiss
CAPTAIN STUBBY AND HIS BUCCANEERS,Star,Tony Walberg
CARLYLE STEVENS,Host,Carlyle Stevens
CAROLINA COTTON CALLS,Star,Carolina Cotton
CAROLINA COTTON CALLS,Star,The Rhythm Riders
CASE DISMISSED,Announcer,Lee Bennett
CASES OF MISTER ACE,Star,Cathy Lewis
CASES OF MISTER ACE,Star,George Raft
CASES OF MISTER ACE,Star,Jeanette Nolan
CASEY  CRIME PHOTOGRAPHER,Star,Stats Cotsworth
CBS LOOKS AT HOLLYWOOD,Announcer,Martin Block
CBS RADIO WORKSHOP,Announcer,William Conrad
CELEBRITY CLUB,Star,Art Carney
CELEBRITY CLUB,Announcer,Bill Cullen
CELEBRITY CLUB,Announcer,Clayton Collyer
CELEBRITY CLUB,Star,Jackie Kelk
CELEBRITY CLUB,Host,John Daly
CELEBRITY CLUB,Star,Margaret Whiting
CHAMBER MUSIC SOCIETY OF LOWER BASIN STREET,Star,Henry Levine
CHAMBER MUSIC SOCIETY OF LOWER BASIN STREET,Host,Milton Cross
CHAMBER MUSIC SOCIETY OF LOWER BASIN STREET,Star,Paul Lavalle
CHANDU  THE MAGICIAN,Star,Betty Webb
CHANDU  THE MAGICIAN,Star,Bob Bixby
CHANDU  THE MAGICIAN,Star,Gayne Whiteman
CHANDU  THE MAGICIAN,Star,Margaret Macdonald
CHANDU THE MAGICIAN,Announcer,Howard Culver
CHAPLAIN JIM,Star,Don Maclaughlin
CHEERIO,Host,Charles K. Field
CHEVROLET PROGRAM,Star,David Rubinoff
CHEVROLET PROGRAM,Host,Hugh Conrad
CHEVROLET PROGRAM,Star,Jan Peerce
CHEVROLET PROGRAM,Star,Virginia Raye
CHICAGO THEATER OF THE AIR,Host,Marion Claire
CHICK CARTER - BOY DETECTIVE,Star,Bill Lipton
CHICK CARTER - BOY DETECTIVE,Star,Leon Janney
CHRISTMAS SING WITH BING,Star,Bing Crosby
CHRISTMAS SING WITH BING,Announcer,Ken Carpenter
CHUCK-WAGON JAMBOREE,Star,Art West
CHUCK-WAGON JAMBOREE,Star,Emmylou Harris
CHUCK-WAGON JAMBOREE,Host,Ken Curtis
CHUCK-WAGON JAMBOREE,Star,Suzie West
CIMARRON TAVERN,Star,Paul Conrad
CIRCUS NIGHT IN SILVERTOWN,Announcer,Ben Grauer
CIRCUS NIGHT IN SILVERTOWN,Host,Joe Cook
CLOAK AND DAGGER,Star,Raymond Edward Johnson
CLUB FIFTEEN,Star,Andrews Sisters
CLUB FIFTEEN,Host,Bob Crosby
CLUB HOLLYWOOD,Star,Rose Marie
CLUB OASIS,Star,Helen Grayco
CLUB OASIS,Star,Spike Jones
COAST TO COAST ON A BUS,Host,Milton Cross
COLUMBIA,Host,Clifton Fadiman
COLUMBIA'S STAGE DOOR,Announcer,Tony Marvin
COMEDY STARS OF HOLLYWOOD,Star,Franklin Brown
COMEDY STARS OF HOLLYWOOD,Star,Kay Lavalle
COMEDY STARS OF HOLLYWOOD,Star,The King's Men
COMIC WEEKLY MAN,Host,Gus Mack
COMMUNITY SING,Star,Milton Berle
COMMUNITY SING,Star,Wendell Hall
CONFIDENTIAL CLOSEUPS,Host,George Fisher
CONFLICT,Star,Edna Best
CONTEMPORARY COMPOSERS CONCERT,Star,Kay Armen
CONTEMPORARY COMPOSERS CONCERT,Star,Paul Whiteman
COTY SALUTE TO YOUTH,Star,Ray Noble
COUNTERSPY,Star,Don Maclaughlin
COUNTERSPY,Star,Mandel Kramer
COURT OF HUMAN RELATIONS,Host,A.L. Alexander
COURT OF HUMAN RELATIONS,Announcer,Nelson Case
COURT OF MEDIATION,Host,A.L. Alexander
COURT OF MISSING HEIRS,Host,James Marshall
CREEPS BY NIGHT,Star,Boris Karloff
CRIME AND PETER CHAMBERS,Star,Dane Clark
CRIME AND PETER CHAMBERS,Announcer,Fred Collins
CRIME CLASSICS,Host,Thomas Hyland
CRIME CORRESPONDENT,Star,Paul Frees
CRIME DOES NOT PAY,Star,Donald Buka
CRIME ON THE WATERFRONT,Star,Myron Wallace
CRIMINAL AT LARGE,Announcer,Ken Carpenter
CRISCO'S STAR PLAYHOUSE,Host,Gale Page
CRISCO'S STAR PLAYHOUSE,Announcer,Marvin Miller
CRUSADER CHRONICLES,Star,Andy Taylor
CRUSADER CHRONICLES,Star,Chris Langham
CRUSADER CHRONICLES,Star,Hugh Grant
CRUSADER CHRONICLES,Star,Rebecca Front
CRUSADER CHRONICLES,Star,Simon Greenall
CURTAIN TIME,Star,Harry Elders
CURTAIN TIME,Star,Mike Wallace
CURTAIN TIME,Star,Nanette Sargent
CURTAIN TIME,Host,Patrick Allen
DAISY DISCOVERS AMERICA,Star,Ella Logan
DAISY DISCOVERS AMERICA,Star,Sheldon Leonard
DANGER DOCTOR DANFIELD,Star,Michael Dunn
DANGEROUS ASSIGNMENT,Star,Lloyd Bruuell
DANGEROUSLY YOURS,Star,Victor Jory
DARK VENTURE,Star,Betty Moran
DARK VENTURE,Star,Dwight Hauser
DARLING AND DEARIE,Star,Alonzio Dean Cole
DARLING AND DEARIE,Star,Mary Flynn
DATE IN HOLLYWOOD,Star,Eddie Fisher
DATE IN HOLLYWOOD,Star,Gloria De Haven
DATE IN HOLLYWOOD,Host,Hugo Winterhalter
DEAR JOHN,Star,Irene Rich
DEFENSE ATTORNEY,Star,Mercedes Mccambridge
DEMOCRACY IN AMERICA,Announcer,Ben Grauer
DESIGN FOR LISTENING,Star,Jack Haskell
DESIGN FOR LISTENING,Announcer,John Holtman
DID JUSTICE TRIUMPH,Announcer,Ralph Paul
DIME-A-MONTH CLUB,Announcer,Kenny Delmar
DINAH SHORE SHOW,Star,Dinah Shore
DINAH SHORE SHOW,Announcer,Truman Bradley
DO YOU WANT TO BE AN ACTOR,Host,Lee Giroux
DOC SAVAGE,Star,Bernard Lenrow
DOC SAVAGE,Star,Earl George
DOCTOR STANDISH MEDICAL EXAMINER,Star,Audrey Christie
DOCTOR STANDISH MEDICAL EXAMINER,Star,Eric Dressler
DOCTOR STANDISH MEDICAL EXAMINER,Star,Gary Merrill
DOCTOR'S WIFE,Star,Donald Curtis
DOCTOR'S WIFE,Star,Patricia Weil
DOCTORS TODAY,Announcer,Henry Cook
DON'T CHEAT UNCLE SAM,Announcer,Fred Scott
DOUBLE OR NOTHING,Host,Walter Compton
DR PEPPER PARADE,Star,Jack Arthur
DR PEPPER PARADE,Star,Margaret Mccrea
DR PEPPER PARADE,Star,Pat Padgett
DR PEPPER PARADE,Star,Pick Malone
DR. SIXGUN,Star,Carl Weber
DR. SIXGUN,Announcer,Fred Collins
DR. SIXGUN,Star,William Griffis
DRAMA CRITICS AWARD,Host,John Mason Brown
DUDE MARTIN'S RADIO RANCHO,Star,Dude Martin
DUDE MARTIN'S SUNRISE ROUNDUP,Star,Dude Martin
DUFFY'S TAVERN,Star,Ed Gardner
DYKE EASTER DETECTIVE,Star,Albert Hecht
EASY MONEY,Star,Larry Haines
ED WYNN SHOW,Star,Ed Wynn
ED WYNN SHOW,Star,Minerva Pios
ED WYNN SHOW,Announcer,Paul Douglas
EDDIE RYAN'S CAMPUS REVIEW,Host,Eddie Ryan
EDITH ADAMS' FUTURE,Star,Della Louise Orton
EDITH ADAMS' FUTURE,Announcer,Garnett Marks
EL LOBO RIDES AGAIN,Star,Charlie Lung
EL LOBO RIDES AGAIN,Announcer,Ralph Langly
ELMER'S JUKE BOX,Star,Elmer Swenson
ENCORE THEATER,Announcer,Frank Graham
ESCAPE,Announcer,Paul Frees
ESCAPE,Announcer,Roy Rowan
ESCAPE,Announcer,William Conrad
ESP,Host,Vincent Price
EVERYTHING FOR THE BOYS,Announcer,Frank Martin
EVERYTHING FOR THE BOYS,Host,Ronald Colman
EXPECTANT FATHER,Announcer,Jack Mcelroy
EXPECTANT FATHER,Host,Perry Ward
EXPLORING TOMORROW,Host,John Campbell Jr.
EYES WRIGHT,Star,Martha Wright
EYES WRIGHT,Announcer,Mel Allen
EYES WRIGHT,Star,The Page Cavanaugh Trio
FAMILY PORTRAIT,Star,Harry Babbitt
FAMILY THEATER,Announcer,Tony La Frano
FAMOUS ROMANCES,Star,Martha Wentworth
FAMOUS ROMANCES,Star,William Farnum
FANTASY,Host,Ken Niles
FATHER KNOWS BEST,Announcer,Bill Forman
FATHER KNOWS BEST,Star,Eleanor Audley
FATHER KNOWS BEST,Star,Helen Strong
FATHER KNOWS BEST,Star,Herb Vigran
FATHER KNOWS BEST,Star,Jean Vander Pyl
FATHER KNOWS BEST,Star,Rhoda Williams
FATHER KNOWS BEST,Star,Robert Young
FATHER KNOWS BEST,Star,Sam Edwards
FATHER KNOWS BEST,Star,Ted Donaldson
FAVORITE SPORTS STORIES OF GRANTLAND RICE,Star,Grantland Rice
FAVORITE STORY,Announcer,George Barclay
FAVORITE STORY,Host,Ronald Colman
FEATURE WIRE,Host,Pat Bishop
FEEN-A-MINT NATIONAL AMATEUR NIGHT,Announcer,Harry Von Zell
FEEN-A-MINT NATIONAL AMATEUR NIGHT,Host,Ray Perkins
FIFTH ROW CENTER,Star,Olan Soule
FIFTH ROW CENTER,Star,Simone Simon
FITCH BANDWAGON,Star,Cass Daley
FITCH BANDWAGON,Star,Dink Trout
FITCH BANDWAGON,Announcer,Larry Keating
FLIGHT WITH MUSIC,Star,Marion Hutton
FLIT FROLICS,Star,Hal Kanner's Little Band
FLIT FROLICS,Star,Jimmy Atkins
FLIT FROLICS,Announcer,Ken Roberts
FOLLOW THE MOON,Announcer,Alan Kent
FOLLOW THE MOON,Star,Elsie Hicks
FOLLOW THE MOON,Star,Nick Dawson
FORD SHOW,Host,Hayes Gordon
FOREIGN ASSIGNMENT,Star,Jay Jostyn
FOREIGN ASSIGNMENT,Star,Vicki Viola
FORT LARAMIE,Announcer,Dan Cubberly
FORT LARAMIE,Star,Jack Moyles
FORT LARAMIE,Star,Raymond Burr
FORT LARAMIE,Star,Vic Perrin
FOUR KINGS AND A QUEEN,Host,Jack Morrisy
FOUR KINGS AND A QUEEN,Star,Jimmy Skrogie
FOUR KINGS AND A QUEEN,Star,Keener
FOUR KINGS AND A QUEEN,Star,Vickie Barrie
FOUR KINGS AND A QUEEN,Star,Whitey Henry
FOUR STAR PLAYHOUSE,Star,Fred Macmurray
FOUR STAR PLAYHOUSE,Star,Robert Cummings
FOUR STAR PLAYHOUSE,Star,Rosalind Russell
FOURTH ESTATE,Host,Mark Hellinger
FREEDOM USA,Star,Tyrone Power
FRESH-UP SHOW,Star,Bert Lahr
FRONT AND CENTER,Star,Dorothy Lamour
FRONT AND CENTER,Announcer,Hal Gibney
FRONTIER GENTLEMAN,Star,John Dehner
FRONTIER THEATER,Star,Joel Mccrea
FRONTIER TOWN,Star,Reed Hadley
FUN AT BREAKFAST,Star,Ford Bond
FUN AT BREAKFAST,Star,George Shelton
FUN AT BREAKFAST,Star,Tom Howard
FUN FEST,Star,Ken Brown
FUN FEST,Star,Red Corcoran
FUN FEST,Star,The King's Men
FURLOUGH FUN,Host,Beryl Wallace
FURLOUGH FUN,Star,George Riley
FURLOUGH FUN,Star,Spike Jones
FURLOUGH FUN,Announcer,Vern Smith
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Star,Bruno Wick
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Star,Charlie Cantor
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Star,Everett Sloane
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Star,Gale Gordon
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Star,Maurice Franklin
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Star,Ray Collins
FURTHER INTERPLANETARY ADVENTURES OF FLASH GORDON,Star,Teddy Bergman
GASOLINE ALLEY,Star,Bill Lipton
GASOLINE ALLEY,Star,Mason Adams
GAY NINETIES REVIEW,Star,Beatrice Kay
GENERAL ELECTRIC THEATER,Announcer,Ken Carpenter
GLAMOUR GIRL,Host,Larry Keating
GOOD NEWS OF 1940,Star,Connee Boswell
GOOD NEWS OF 1940,Star,Fanny Bryce
GOOD NEWS OF 1940,Star,Frank Morgan
GOOD NEWS OF 1940,Star,Hanley Stafford
GOOD NEWS OF 1940,Star,Robert Young
GOOD NEWS PROGRAM,Host,Fred Graham
GRANBY'S GREEN ACRES,Star,Bea Benadaret
GRANBY'S GREEN ACRES,Announcer,Bob LeMond
GRANBY'S GREEN ACRES,Star,Gale Gordon
GRANBY'S GREEN ACRES,Star,Louise Erickson
GRANBY'S GREEN ACRES,Star,Parley Baer
GRAND HOTEL,Star,Barbara Luddy
GRAND HOTEL,Star,Olan Soule
GRAND MARQUEE,Star,Beryl Vaughn
GRAND MARQUEE,Star,Jim Ameche
GRAND MARQUEE,Star,Olan Soule
GREAT MOMENTS FROM GREAT PLAYS,Announcer,C. O'connor
GREAT MOMENTS FROM GREAT PLAYS,Announcer,Nelson Case
GUESS WHO?,Host,Happy Felton
GULFSPRAY PRESENTS,Announcer,Dan Seymour
GULFSPRAY PRESENTS,Star,Jerry Wayne
GULFSPRAY PRESENTS,Star,Peg La Centra
HAIL THE CHAMP,Host,Herb Allen
HALLMARK PLAYHOUSE,Announcer,Frank Goss
HALLMARK PLAYHOUSE,Host,James Hilton
HAP HAZARD,Star,Edna O'dell
HAP HAZARD,Announcer,Harlow Wilcox
HAP HAZARD,Host,Ransom Sherman
HARMONY HALL,Star,Jerry Colonna
HARMONY HALL,Star,Marian Morgan
HARMONY HALL,Star,The Four Vagabonds
HARMONY HOMESTEAD,Star,Andy Holcomb
HARMONY HOMESTEAD,Star,Jack Rogers
HARMONY HOMESTEAD,Star,Merle Travis
HARMONY HOMESTEAD,Star,Tex Saunders
HARMONY HOMESTEAD,Star,Texanne Nation
HARRY BABBITT SHOW,Star,Harry Babbitt
HAVE GUN WILL TRAVEL,Announcer,Hugh Douglas
HAVE GUN WILL TRAVEL,Star,John Dehner
HAWAII CALLS,Host,Webley Edwards
HAWK LARABEE,Host,William Conrad
HEDDA HOPPER'S HOLLYWOOD,Announcer,Bernard Dudley
HEDDA HOPPER'S HOLLYWOOD,Host,Hedda Hopper
HELEN HAYES THEATER,Announcer,Frank Gallop
HELEN HAYES THEATER,Star,Helen Hayes
HELLO MOM,Host,Hal Gibney
HELLO SUCKER,Announcer,John Conrad
HERCULE POIROT,Star,Harold Huber
HERE COMES MCBRIDE,Star,Frank Lovejoy
HERITAGE,Announcer,Ed Michaels
HILDEGARDE,Announcer,Dan Seymour
HILDEGARDE,Star,Hildegarde
HIS AND HERS,Star,Jim Backus
HIS AND HERS,Star,Virginia Fields
HIT OF THE EVENING,Host,Jim Backus
HIT THAT BALL,Announcer,Carlton Warren
HIT THAT BALL,Host,Stan Lomax
HOBBY LOBBY,Host,Dave Ellman
HOLIDAY WILDE,Star,Gloria Blondell
HOLLYWOOD HOTEL,Host,Dick Powell
HOLLYWOOD HOTEL,Host,Fred Macmurray
HOLLYWOOD HOTEL,Host,Jerry Cooper
HOLLYWOOD HOTEL,Host,Ken Murray
HOLLYWOOD IMPRESSIONS,Star,Lou Tobin
HOLLYWOOD MARDI GRAS,Announcer,Don Wilson
HOLLYWOOD MARDI GRAS,Star,Lanny Ross
HOLLYWOOD MERRY-GO-ROUND,Host,Irwin Allen
HOLLYWOOD PREVIEW,Host,Knox Manning
HOLLYWOOD SHOWCASE,Host,Mickey Rooney
HOLLYWOOD SPOTLIGHT,Star,Bob Burns
HOLLYWOOD SPOTLIGHT,Star,Larry Burke
HOLLYWOOD SPOTLIGHT,Star,Leah Ray
HOLLYWOOD SPOTLIGHT,Star,Phil Harris
HOLLYWOOD SPOTLIGHT,Host,Tom Jaffrey
HOLLYWOOD STAR PLAYHOUSE,Announcer,Norman Brokenshire
HOLLYWOOD STAR PLAYHOUSE,Host,Wendell Niles
HOLLYWOOD STAR PREVIEW,Host,Adolphe Menjou
HOLLYWOOD STAR PREVIEW,Announcer,Ken Peters
HOLLYWOOD STAR TIME,Host,Herbert Marshall
HOLLYWOOD STAR TIME,Announcer,Wendell Niles
HOLLYWOOD STORY,Host,Chris Kenyon
HOLLYWOOD STORY,Announcer,Richard Stark
HOLLYWOOD STORY,Host,Vivi Janiss
HOLLYWOOD THEATER OF STARS,Host,C. P. Macgregor
HOLLYWOOD TOUR,Host,Cal York
HOLLYWOOD'S OPEN HOUSE,Star,Henny Youngman
HOLLYWOOD'S OPEN HOUSE,Host,Jim Ameche
HOME EDITION,Star,Robert Gardner
HOMETOWN JAMBOREE,Host,Cliffie Stone
HOMETOWN OHIO,Host,Ralph Werden
HOMICIDE O'KANE,Star,John Heston
HOMICIDE O'KANE,Star,Richard Le Grand
HONEYMOON IN NEW YORK,Host,Ed Herlihy
HONEYMOON IN NEW YORK,Announcer,Wayne Howell
HOPALONG CASSIDY,Star,Andy Clyde
HOPALONG CASSIDY,Star,William Boyd
HOUSE PARTY,Host,Art Linkletter
HOW DO YOU DO IT,Announcer,John Grover
HOWARD AND SHELTON,Star,George Shelton
HOWARD AND SHELTON,Star,Tom Howard
I COVER HOLLYWOOD,Star,Georgia Ellis
I COVER HOLLYWOOD,Announcer,Hugh Douglas
I COVER HOLLYWOOD,Star,Michael O'shea
I COVER THE WATERFRONT,Announcer,Dan Cubberly
I COVER THE WATERFRONT,Star,Larry Thor
I DEAL IN CRIME,Announcer,Dresser Dahlstead
I DEAL IN CRIME,Star,William Gargan
I FLY ANYTHING,Star,Dick Haymes
I FLY ANYTHING,Star,George Fenneman
I FLY ANYTHING,Star,Georgia Ellis
I LOVE A MYSTERY,Star,Barton Yarborough
I LOVE A MYSTERY,Star,Gloria Blondell
I LOVE A MYSTERY,Star,Michael Raffetto
I LOVE ADVENTURE,Star,Barton Yarborough
I LOVE ADVENTURE,Star,Gloria Blondell
I LOVE ADVENTURE,Star,Michael Raffetto
I LOVE ADVENTURE,Star,Tom Collins
I WANT A DIVORCE,Star,Joan Blondell
I WAS A COMMUNIST FOR THE FBI,Star,Dana Andrews
I WAS A COMMUNIST FOR THE FBI,Announcer,Truman Bradley
I WAS THERE,Host,Knox Manning
ICE BOX FOLLIES,Star,Don Prindle
ICE BOX FOLLIES,Star,Wendell Niles
IF I COULD LIVE IT OVER,Announcer,Andre Baruch
IF I COULD LIVE IT OVER,Host,Walter B. Pitkin
IMPERIAL LEADER,Star,Douglas Kelly
IN YOUR OWN WORDS,Host,Martin Welde
INCREDIBLE BUT TRUE,Host,Ken Nordine
INFORMATION PLEASEX,Announcer,Ben Grauer
INFORMATION PLEASEX,Host,Clifton Fadiman
INHERITANCE,Announcer,John Wald
INNER SANCTUM MYSTERIES,Announcer,Ed Herlihy
INNER SANCTUM MYSTERIES,Host,Raymond Edward Johnson
INSPECTOR THORNE,Star,Staats Cotsworth
IREENE WICKER,Announcer,Milton Cross
ISLAND VENTURE,Star,Clare Boreum
ISLAND VENTURE,Star,Jerry Walter
